Machine,Time,Temp,Vibration,Avg_Temp,Temp_Dev,Alert
1,1,298.1K,1551,N/A,0.0K,✅ Normal Operation
2,2,298.2K,1408,N/A,0.0K,✅ Normal Operation
3,3,298.1K,1498,N/A,0.0K,✅ Normal Operation
4,4,298.2K,1433,N/A,0.0K,✅ Normal Operation
5,5,298.2K,1408,N/A,0.0K,✅ Normal Operation
6,6,298.1K,1425,N/A,0.0K,✅ Normal Operation
7,7,298.1K,1558,N/A,0.0K,✅ Normal Operation
8,8,298.1K,1527,N/A,0.0K,✅ Normal Operation
9,9,298.3K,1667,N/A,0.0K,✅ Normal Operation
10,10,298.5K,1741,N/A,0.0K,✅ Normal Operation
11,11,298.4K,1782,N/A,0.0K,✅ Normal Operation
12,12,298.6K,1423,N/A,0.0K,✅ Normal Operation
13,13,298.6K,1339,N/A,0.0K,✅ Normal Operation
14,14,298.6K,1742,N/A,0.0K,✅ Normal Operation
15,15,298.6K,2035,N/A,0.0K,🔥 CRITICAL: Excessive Vibration
16,16,298.6K,1542,N/A,0.0K,✅ Normal Operation
17,17,298.6K,1311,N/A,0.0K,✅ Normal Operation
18,18,298.7K,1410,N/A,0.0K,✅ Normal Operation
19,19,298.8K,1306,N/A,0.0K,✅ Normal Operation
20,20,298.9K,1632,N/A,0.0K,✅ Normal Operation
21,21,298.9K,1375,N/A,0.0K,✅ Normal Operation
22,22,298.8K,1450,N/A,0.0K,✅ Normal Operation
23,23,298.9K,1581,N/A,0.0K,✅ Normal Operation
24,24,299.0K,1758,N/A,0.0K,✅ Normal Operation
25,25,299.0K,1561,N/A,0.0K,✅ Normal Operation
26,26,299.0K,1861,N/A,0.0K,✅ Normal Operation
27,27,299.1K,1512,N/A,0.0K,✅ Normal Operation
28,28,299.1K,1811,N/A,0.0K,✅ Normal Operation
29,29,299.1K,1439,N/A,0.0K,✅ Normal Operation
30,30,299.0K,1693,N/A,0.0K,✅ Normal Operation
31,31,299.1K,1339,N/A,0.0K,✅ Normal Operation
32,32,299.0K,1798,N/A,0.0K,✅ Normal Operation
33,33,299.0K,1419,N/A,0.0K,✅ Normal Operation
34,34,298.9K,1665,N/A,0.0K,✅ Normal Operation
35,35,298.8K,1559,N/A,0.0K,✅ Normal Operation
36,36,298.8K,1452,N/A,0.0K,✅ Normal Operation
37,37,298.9K,1581,N/A,0.0K,✅ Normal Operation
38,38,298.8K,1439,N/A,0.0K,✅ Normal Operation
39,39,298.9K,1379,N/A,0.0K,✅ Normal Operation
40,40,298.8K,1350,N/A,0.0K,✅ Normal Operation
41,41,298.8K,1362,N/A,0.0K,✅ Normal Operation
42,42,298.8K,1368,N/A,0.0K,✅ Normal Operation
43,43,298.8K,1368,N/A,0.0K,✅ Normal Operation
44,44,298.8K,1372,N/A,0.0K,✅ Normal Operation
45,45,298.8K,1472,N/A,0.0K,✅ Normal Operation
46,46,298.8K,1489,N/A,0.0K,✅ Normal Operation
47,47,298.7K,1843,N/A,0.0K,✅ Normal Operation
48,48,298.8K,1418,N/A,0.0K,✅ Normal Operation
49,49,298.8K,1425,N/A,0.0K,✅ Normal Operation
50,50,298.9K,1412,N/A,0.0K,✅ Normal Operation
51,51,298.9K,2861,N/A,0.0K,🔥 CRITICAL: Excessive Vibration
52,52,298.9K,1383,N/A,0.0K,✅ Normal Operation
53,53,298.8K,1497,N/A,0.0K,✅ Normal Operation
54,54,298.7K,1565,N/A,0.0K,✅ Normal Operation
55,55,298.7K,1691,N/A,0.0K,✅ Normal Operation
56,56,298.8K,1512,N/A,0.0K,✅ Normal Operation
57,57,298.8K,1477,N/A,0.0K,✅ Normal Operation
58,58,298.8K,1513,N/A,0.0K,✅ Normal Operation
59,59,298.8K,1661,N/A,0.0K,✅ Normal Operation
60,60,298.8K,1378,N/A,0.0K,✅ Normal Operation
61,61,298.8K,1393,N/A,0.0K,✅ Normal Operation
62,62,298.8K,1592,N/A,0.0K,✅ Normal Operation
63,63,298.8K,1829,N/A,0.0K,✅ Normal Operation
64,64,298.9K,1812,N/A,0.0K,✅ Normal Operation
65,65,299.0K,1523,N/A,0.0K,✅ Normal Operation
66,66,299.0K,1394,N/A,0.0K,✅ Normal Operation
67,67,298.9K,1679,N/A,0.0K,✅ Normal Operation
68,68,298.8K,1466,N/A,0.0K,✅ Normal Operation
69,69,298.8K,1527,N/A,0.0K,✅ Normal Operation
70,70,298.9K,1410,N/A,0.0K,✅ Normal Operation
71,71,298.9K,1924,N/A,0.0K,✅ Normal Operation
72,72,298.9K,1452,N/A,0.0K,✅ Normal Operation
73,73,298.9K,1369,N/A,0.0K,✅ Normal Operation
74,74,299.0K,1592,N/A,0.0K,✅ Normal Operation
75,75,298.9K,1601,N/A,0.0K,✅ Normal Operation
76,76,298.8K,1379,N/A,0.0K,✅ Normal Operation
77,77,298.8K,1461,N/A,0.0K,✅ Normal Operation
78,78,298.8K,1455,N/A,0.0K,✅ Normal Operation
79,79,298.8K,1398,N/A,0.0K,✅ Normal Operation
80,80,298.8K,1402,N/A,0.0K,✅ Normal Operation
81,81,298.8K,1445,N/A,0.0K,✅ Normal Operation
82,82,298.9K,1450,N/A,0.0K,✅ Normal Operation
83,83,298.9K,1453,N/A,0.0K,✅ Normal Operation
84,84,299.0K,1469,N/A,0.0K,✅ Normal Operation
85,85,298.9K,1422,N/A,0.0K,✅ Normal Operation
86,86,299.0K,1804,N/A,0.0K,✅ Normal Operation
87,87,299.0K,1436,N/A,0.0K,✅ Normal Operation
88,88,299.0K,1544,N/A,0.0K,✅ Normal Operation
89,89,299.0K,1419,N/A,0.0K,✅ Normal Operation
90,90,298.9K,1487,N/A,0.0K,✅ Normal Operation
91,91,298.9K,1753,N/A,0.0K,✅ Normal Operation
92,92,298.9K,1830,N/A,0.0K,✅ Normal Operation
93,93,298.9K,1727,N/A,0.0K,✅ Normal Operation
94,94,299.1K,1450,N/A,0.0K,✅ Normal Operation
95,95,299.0K,1622,N/A,0.0K,✅ Normal Operation
96,96,299.0K,1351,N/A,0.0K,✅ Normal Operation
97,97,299.0K,1575,N/A,0.0K,✅ Normal Operation
98,98,298.9K,1750,N/A,0.0K,✅ Normal Operation
99,99,298.9K,1529,N/A,0.0K,✅ Normal Operation
100,100,298.8K,1523,N/A,0.0K,✅ Normal Operation
101,101,298.8K,1852,N/A,0.0K,✅ Normal Operation
